index,QT_VOTOS,QT_VOTOS_ESTIMADO,time
Lula,49.88,50.12086905629181,2022-10-30 18:36:06.469120
Jair Bolsonaro,50.12,49.8769780602113,2022-10-30 18:37:31.639993
Lula,49.88,50.1230219397887,2022-10-30 18:37:31.639993
Jair Bolsonaro,50.08,49.84693209499703,2022-10-30 18:38:48.939592
Lula,49.92,50.15306790500298,2022-10-30 18:38:48.939592
Jair Bolsonaro,50.08,49.82609115900435,2022-10-30 18:40:14.916562
Lula,49.92,50.17390884099565,2022-10-30 18:40:14.916562
Jair Bolsonaro,50.06,49.809904441651064,2022-10-30 18:41:26.835616
Lula,49.94,50.190095558348936,2022-10-30 18:41:26.835616
Jair Bolsonaro,50.03,49.808453876232726,2022-10-30 18:42:41.963572
Lula,49.97,50.191546123767274,2022-10-30 18:42:41.963572
Lula,50.01,50.20910539308968,2022-10-30 18:44:09.288711
Jair Bolsonaro,49.99,49.79089460691032,2022-10-30 18:44:09.288711
Lula,50.01,50.21150491687602,2022-10-30 18:45:35.032222
Jair Bolsonaro,49.99,49.78849508312398,2022-10-30 18:45:35.032222
Lula,50.04,50.22796650973927,2022-10-30 18:46:58.211309
Jair Bolsonaro,49.96,49.77203349026073,2022-10-30 18:46:58.211309
Lula,50.07,50.23641674206536,2022-10-30 18:48:21.670754
Jair Bolsonaro,49.93,49.76358325793464,2022-10-30 18:48:21.670754
Lula,50.1,50.259994034553046,2022-10-30 18:49:41.963628
Jair Bolsonaro,49.9,49.740005965446954,2022-10-30 18:49:41.963628
Lula,50.13,50.2904989825413,2022-10-30 18:51:02.032477
Jair Bolsonaro,49.87,49.7095010174587,2022-10-30 18:51:02.032477
Lula,50.18,50.33019793333347,2022-10-30 18:52:28.221865
Jair Bolsonaro,49.82,49.66980206666653,2022-10-30 18:52:28.221865
Lula,50.21,50.34371307280669,2022-10-30 18:53:44.161843
Jair Bolsonaro,49.79,49.65628692719331,2022-10-30 18:53:44.161843
Lula,50.23,50.37050617148365,2022-10-30 18:55:23.500844
Jair Bolsonaro,49.77,49.62949382851635,2022-10-30 18:55:23.500844
Lula,50.25,50.39329050765564,2022-10-30 18:56:37.535475
Jair Bolsonaro,49.75,49.60670949234436,2022-10-30 18:56:37.535475
Lula,50.32,50.45055799428573,2022-10-30 18:57:55.555627
Jair Bolsonaro,49.68,49.54944200571427,2022-10-30 18:57:55.555627
Lula,50.35,50.46133529927224,2022-10-30 18:59:10.955591
Jair Bolsonaro,49.65,49.538664700727765,2022-10-30 18:59:10.955591
Lula,50.36,50.48661149528666,2022-10-30 19:00:24.363765
Jair Bolsonaro,49.64,49.51338850471334,2022-10-30 19:00:24.363765
Lula,50.4,50.511463459083785,2022-10-30 19:01:53.426061
Jair Bolsonaro,49.6,49.488536540916215,2022-10-30 19:01:53.426061
Lula,50.41,50.54129079927346,2022-10-30 19:03:13.643591
Jair Bolsonaro,49.59,49.45870920072654,2022-10-30 19:03:13.643591
Lula,50.46,50.547641792761745,2022-10-30 19:04:24.640424
Jair Bolsonaro,49.54,49.452358207238255,2022-10-30 19:04:24.640424
Lula,50.48,50.57322653028029,2022-10-30 19:05:45.861451
Jair Bolsonaro,49.52,49.42677346971971,2022-10-30 19:05:45.861451
Lula,50.5,50.5835147246006,2022-10-30 19:07:11.375085
Jair Bolsonaro,49.5,49.4164852753994,2022-10-30 19:07:11.375085
Lula,50.51,50.599353025298306,2022-10-30 19:08:26.634578
Jair Bolsonaro,49.49,49.40064697470168,2022-10-30 19:08:26.634578
Lula,50.52,50.60683043900944,2022-10-30 19:09:37.080251
Jair Bolsonaro,49.48,49.39316956099056,2022-10-30 19:09:37.080251
Lula,50.54,50.618727057390636,2022-10-30 19:10:56.028819
Jair Bolsonaro,49.46,49.381272942609364,2022-10-30 19:10:56.028819
Lula,50.56,50.632483972768746,2022-10-30 19:12:14.567750
Jair Bolsonaro,49.44,49.367516027231254,2022-10-30 19:12:14.567750
Lula,50.57,50.63793249647711,2022-10-30 19:13:33.031802
Jair Bolsonaro,49.43,49.36206750352289,2022-10-30 19:13:33.031802
Lula,50.58,50.64961901937573,2022-10-30 19:14:54.479631
Jair Bolsonaro,49.42,49.35038098062427,2022-10-30 19:14:54.479631
Lula,50.59,50.65707884992279,2022-10-30 19:16:10.704153
Jair Bolsonaro,49.41,49.34292115007721,2022-10-30 19:16:10.704153
Lula,50.61,50.663852228026414,2022-10-30 19:17:33.843731
Jair Bolsonaro,49.39,49.336147771973586,2022-10-30 19:17:33.843731
Lula,50.62,50.67691848734236,2022-10-30 19:18:57.036587
Jair Bolsonaro,49.38,49.32308151265764,2022-10-30 19:18:57.036587
Lula,50.62,50.68476152105473,2022-10-30 19:20:23.712022
Jair Bolsonaro,49.38,49.31523847894527,2022-10-30 19:20:23.712022
Lula,50.63,50.69485597063703,2022-10-30 19:21:40.027721
Jair Bolsonaro,49.37,49.30514402936296,2022-10-30 19:21:40.027721
Lula,50.64,50.70608638020091,2022-10-30 19:22:52.392209
Jair Bolsonaro,49.36,49.29391361979908,2022-10-30 19:22:52.392209
Lula,50.66,50.71258709968581,2022-10-30 19:24:04.651606
Jair Bolsonaro,49.34,49.287412900314195,2022-10-30 19:24:04.651606
Lula,50.66,50.71808963869077,2022-10-30 19:25:15.731404
Jair Bolsonaro,49.34,49.28191036130923,2022-10-30 19:25:15.731404
Lula,50.68,50.73507353864174,2022-10-30 19:26:38.843577
Jair Bolsonaro,49.32,49.26492646135826,2022-10-30 19:26:38.843577
Lula,50.71,50.760475674558975,2022-10-30 19:28:03.131480
Jair Bolsonaro,49.29,49.239524325441025,2022-10-30 19:28:03.131480
Lula,50.71,50.76464797096092,2022-10-30 19:29:21.982549
Jair Bolsonaro,49.29,49.23535202903908,2022-10-30 19:29:21.982549
Lula,50.72,50.7662304166903,2022-10-30 19:30:42.277277
Jair Bolsonaro,49.28,49.2337695833097,2022-10-30 19:30:42.277277
Lula,50.72,50.77197823689491,2022-10-30 19:32:06.671641
Jair Bolsonaro,49.28,49.22802176310509,2022-10-30 19:32:06.671641
Lula,50.73,50.77244257539048,2022-10-30 19:33:25.202523
Jair Bolsonaro,49.27,49.22755742460952,2022-10-30 19:33:25.202523
